index,question,value,response,correct
36,What are the 5 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,"22042.0, 42423.0, 112228.0, 200000.0, 3280000.0","0.20, 3.28, 42.42, 42423.00, 22042.00",False
37,Which companies have the top 5 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in million kWh?,"nasdaq_dasty, munich-re, deutsche-telekom-ag, otc_dpsgy, heidelberg-materials","carbon intensity in millions of euros of revenue ifrs (tco,-eq/m€): 31.4, energy consumption (mwh): 71.22, energy consumption (scopes 1 and 2): 35056.00, energy consumption (gwh): 12.24, total: 250.92",False
38,What is the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,4510000.0,142457.00,False
39,Which companies have the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"otc_rwnef, otc_bayzf, munich-re","3039435.00, 96745.00, 23.80",False
40,What are the 3 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"0.09, 3.13, 7.64","9.72, 56.53, 92467.00",False
41,What is the lowest energy consumption over the last 2 years among the following companies in million kWh?,33.09,33.09,True
42,Which company has the largest energy consumption from 2022 to 2023 among the following companies?,otc_su,otc_su,True
43,What are the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"23800000.0, 9720000.0, 3130824.0","3039435.00, 735018.00, 96745.00",False
44,Which company has the smallest water consumption from 2022 to 2023 among the following companies in millions of cu.m?,munich-re,otc_bayzf,False
45,What is the highest energy consumed in the last 2 years among the following companies in million kWh?,166000.0,250.92,False
46,Which company has the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in MtCO2eq?,otc_esocf,otc_adddf,False
47,Which companies have the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tCO2eq?,"otc_rwnef, munich-re","munich-re, axa",False
48,What are the 4 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,"5100000.0, 1120000.0, 37172.0, 30490.0","59232.00, 30490.00, 19496.00, 1.12",False
49,What are the 4 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in million mt CO2e?,"71.04, 23.8, 9.72, 3.13","3039.44, 96745.00, 56.53, 9.72",False
50,Which companies have the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"nasdaq_dasty, munich-re","0.20, 1.11",False
51,What is the lowest energy consumption over the last 2 years among the following companies in MWh?,71218.0,"71218.00,35056.00,12241.00,329775.00,250916.00",False
52,What are the top 5 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in MWh?,"33090.0, 250916.0, 1124327.0, 12241000.0, 157000000.0","250916.00, 1124327.00, 157.00, 33.09, 6.00",False
53,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in GWh?,"prosiebensat1-media, munich-re","deutsche-telekom-ag, munich-re",False
54,What are the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tons CO2e?,"1110000.0, 200000.0","142457.00, 3193.00",False
55,Which companies have the 5 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,"nasdaq_dasty, munich-re, otc_adddf, otc_rwnef, otc_bayzf","otc_bayzf, otc_rwnef, nasdaq_dasty, munich-re, otc_adddf",False
56,What are the top 4 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in GWh?,"35056.0, 12241.0, 1124.33, 250.92","1124.32, 250.92, 12.24, 35.06",False
57,Which companies have the top 5 lowest water consumption values (in ascending order) for the year 2023 among the following companies in m3?,"munich-re, otc_bamgf, otc_bayzf, otc_crerf, otc_esocf","otc_bayzf, otc_crerf, otc_esocf, munich-re, otc_bamgf",False
58,What are the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"0.0, 0.02","1.89, 34.51",False
59,What are the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in GWh?,"33.09, 250.92","12241.00, 250916.00",False
60,What are the 5 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"4178.0, 21598.0, 33093.0, 34510000.0, 61900000.0","61.90, 34.51, 4.64, 0.64, 0.12",False
61,What are the 4 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,"19496.0, 30490.0, 37172.0, 142293.0","30490.00, 142293.00, 19496.00, 37172.00",False
62,What are the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2-eq?,"1110000.0, 200000.0, 142457.0","142457.00, 3193.00, 14249.00",False
63,Which company has the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,otc_adddf,otc_adddf,True
64,What is the highest energy consumed in the last 2 years among the following companies in TJ?,347068.0,"total energy consumed in the last 2 years among the companies is: 1124327, 12241, 363226, 250916, 33.09. the highest energy consumed is 1124327.00.",False
65,What is the highest energy consumed in the last 2 years among the following companies in GWh?,35056.0,1124.33,False
66,Which companies have the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"nasdaq_dasty, otc_adddf","1.89, 34.51",False
67,Which companies have the top 5 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,"heidelberg-materials, deutsche-telekom-ag, otc_su, nasdaq_dasty, prosiebensat1-media","otc_su, 1124327.00, nasdaq_dasty, 71218.00, deutsche-telekom-ag, 12241.00, heidelberg-materials, 329775.00, prosiebensat1-media, 33.09",False
68,Which companies have the top 4 highest water consumption values (in descending order) for the year 2023 among the following companies in millions of cu.m?,"otc_esocf, otc_crerf, otc_bayzf, otc_bamgf","otc_crerf, otc_esocf, otc_bamgf, otc_bayzf",False
69,Which companies have the 5 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,"otc_esocf, otc_bayzf, otc_adddf, axa, vivendi","otc_adddf, axa, vivendi, otc_esocf, otc_bayzf",False
70,Which companies have the 5 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,"otc_esocf, otc_rwnef, nyse_az, axa, vivendi","axa, vivendi, nyse_az, otc_esocf, otc_rwnef",False
71,What is the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in million mt CO2e?,0.02,"0.20, 3.28, 42.42",False
72,What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,21600000.0,735018.00,False
73,Which company has the highest amount of waste generated in the years 2023 and 2022 among the following companies in kt?,heidelberg-materials,otc_bamgf,False
74,Which companies have the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in TCO2eq?,"vivendi, axa","otc_rwnef, otc_esocf",False
75,Which companies have the top 5 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in MWh?,"prosiebensat1-media, munich-re, otc_su, deutsche-telekom-ag, nyse_tte","250916.00, 1124327.00, 157.00, 33.09, 12241.00",False
76,Which companies have the 4 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,"vivendi, munich-re, otc_adddf, otc_bayzf","otc_bayzf, otc_rwnef, vivendi, munich-re",False
77,Which company has the largest energy consumption from 2022 to 2023 among the following companies?,nasdaq_dasty,"nyse_tte, otc_dpsgy",False
78,What are the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"1.11, 0.2, 0.14","3193.00, 142.46, 1.11",False
79,What are the 5 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,"5100000.0, 1120000.0, 142293.0, 37172.0, 19496.0","142457.00, 59232.00, 14221.00, 1.12, 4.51",False
80,What are the top 3 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in TWh?,"0.07, 1.12, 12.24","33.00, 157.00, 71218.00",False
81,Which company has the lowest energy consumption over the last 2 years among the following companies in million kWh?,prosiebensat1-media,prosiebensat1-media,True
82,What are the top 4 highest water consumption values (in descending order) for the year 2023 among the following companies in millions of cu.m?,"35.4, 8.2, 6.78, 5.05","8.20, 35.40, 6.78, 5.05",False
83,Which company has the highest energy consumed in the last 2 years among the following companies in million kWh?,nyse_tte,munich-re,False
84,What is the highest water consumption in the years 2023 and 2022 for the following companies in millions of cu.m?,45.2,"8.20, 12.20, 35.40, 45.20, 6.78, 6.66, 5049.14, 4840.16",False
85,What are the 5 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"0.0, 0.01, 0.14, 0.2, 1.11","0.20, 1.11, 1.12, 14.25, 14.25",False
86,What is the highest energy consumed in the last 2 years among the following companies in MWh?,96407854.9,1124327.00,False
87,What are the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"1.12, 0.14","30490.00, 19496.00",False
88,What are the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"0.02, 0.03","1.12, 4.51",False
89,Which company has the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in TCO2eq?,otc_esocf,otc_adddf,False
90,What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,23800000.0,7635784.00,False
91,Which companies have the 3 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"nyse_az, munich-re, otc_adddf","otc_bayzf, otc_esocf, nyse_az",False
92,What are the 4 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tCO2-eq?,"1890000.0, 33093.0, 21779.0, 21598.0","4178.00, 21779.00, 33093.00, 21598.00",False
93,What are the 5 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,"19496.0, 30490.0, 37172.0, 1120000.0, 5100000.0","1.12, 30.49, 51.00, 37.17, 19.50",False
94,What is the highest amount of waste generated in the years 2023 and 2022 among the following companies in t?,953100.0,"927880.00, 818387.00, 10007.00, 671.00, 476.50",False
95,What is the highest water consumption in the years 2023 and 2022 for the following companies in m3?,45200000.0,"5049144.00, 12200.00, 35.40, 76.00, 432730.00",False
96,What are the 5 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in TCO2eq?,"34510000.0, 33093.0, 21779.0, 10291.0, 4178.0","4178.00, 33093.00, 21779.00, 10291.00, 34.51",False
97,What are the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tCO2eq?,"61900000.0, 33093.0","33093.00, 21779.00",False
98,Which companies have the top 5 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,"nyse_tte, otc_su, munich-re, nasdaq_dasty, prosiebensat1-media","otc_su, nasdaq_dasty, munich-re, nyse_tte, prosiebensat1-media",False
99,Which companies have the 5 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"otc_bayzf, otc_rwnef, otc_adddf, munich-re, nasdaq_dasty","142.46, 3.03, 1.11, 0.20, 0.00",False
100,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in MWh?,"prosiebensat1-media, nasdaq_dasty","71218.00, 35056.00",False
101,Which companies have the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"otc_bayzf, otc_adddf","otc_adddf, axa",False
102,What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,7635784.0,5894811.00,False
103,Which company has the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,otc_rwnef,5894811.00,False
104,Which companies have the 5 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in million mt CO2e?,"nasdaq_dasty, axa, otc_adddf, munich-re, otc_rwnef","61.90, 41.78, 21.60, 21.60, 21.60",False
105,What are the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in MWh?,"33090.0, 71218.0","71218.00, 35056.00",False
106,Which companies have the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"otc_esocf, otc_rwnef","vivendi, nyse_az",False
107,What are the top 4 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,"157000000.0, 12241000.0, 250916.0, 71218.0","108722.00, 95108.00, 71218.00, 12241.00",False
108,Which companies have the 4 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"otc_esocf, otc_rwnef, nyse_az, axa","axa, vivendi, nyse_az, otc_esocf",False
109,Which company has the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in Million metric tons of CO2 equivalents?,otc_esocf,vivendi,False
110,What are the top 5 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,"157000000.0, 1124327.0, 250916.0, 71218.0, 33090.0","1124327.00, 71218.00, 250916.00, 95108.00, 33.09",False
111,Which companies have the 4 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"otc_bayzf, otc_rwnef, otc_adddf, munich-re","3193.00, 142.46, 1.12, 0.20",False
112,What are the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"0.0, 0.01","1.11, 0.20",False
113,Which company has the highest energy consumed in the last 2 years among the following companies in GWh?,otc_dpsgy,otc_su,False
114,What is the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,5.1,19496.00,False
115,What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tons CO2e?,43664.0,"33093.00, 33617.00, 31774.00, 21779.00, 21598.00, 10291.00",False
116,Which companies have the 4 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,"vivendi, nyse_az, axa, otc_adddf","otc_esocf, vivendi, axa, otc_adddf",False
117,What are the top 4 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in GWh?,"157000.0, 91604.24, 35056.0, 12241.0","250916.00, 12241.00, 35056.00, 157.00",False
118,What are the 5 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in million mt CO2e?,"0.0, 0.02, 0.02, 0.03, 61.9","61.90, 41.78, 21.60, 20.00, 17.00",False
119,Which companies have the top 3 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in TWh?,"nasdaq_dasty, otc_su, deutsche-telekom-ag","heidelberg-materials, otc_su, nyse_tte",False
120,What is the highest energy consumed in the last 2 years among the following companies in MWh?,35056000,1124327.00,False
121,What are the 3 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2eq?,"3280000.0, 200000.0, 112228.0","112228.00, 65470.00, 22042.00",False
122,Which companies have the 5 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"nyse_az, nasdaq_dasty, vivendi, otc_rwnef, otc_esocf","56.53, 92.47, 97.47, 179.52, 735.02",False
123,What is the highest amount of waste generated in the years 2023 and 2022 among the following companies in kt?,953.1,"927.88, 818.39, 1276.70",False
124,What are the 5 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,"3280000.0, 200000.0, 112228.0, 42423.0, 22042.0","112228.00, 65470.00, 22042.00, 32333.00, 0.20",False
125,What is the lowest energy consumption over the last 2 years among the following companies in million kWh?,250.92,147.00,False
126,Which company has the lowest energy consumption over the last 2 years among the following companies in MWh?,nasdaq_dasty,"deutsche-telekom-ag, 12241.00, 13253.00",False
127,What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2eq?,1910000.0,"33093.00, 4476.00, 21598.00, 31774.00",False
128,What are the 5 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"0.09, 0.17, 0.77, 23.8, 71.04","0.10, 21.60, 56.53, 92.47, 179.52",False
129,Which companies have the 3 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"vivendi, axa, otc_adddf","otc_bayzf, otc_esocf, vivendi",False
130,Which company has the largest energy consumption from 2022 to 2023 among the following companies?,heidelberg-materials,otc_dpsgy,False
131,What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in million mt CO2e?,23.8,3039.44,False
132,What are the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,"4178.0, 10291.0, 31774.0","61.90, 10291.00, 33093.00",False
133,What are the 3 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,"92467.0, 168709.0, 3130824.0","179523.00, 96745.00, 3039435.00",False
134,Which companies have the 4 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"otc_esocf, otc_rwnef, otc_adddf, munich-re","otc_adddf, otc_rwnef, munich-re, otc_esocf",False
135,What is the highest amount of waste generated in the years 2023 and 2022 among the following companies in tons?,953100.0,"927880.00, 818387.00",False
136,Which companies have the 4 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tCO2-eq?,"otc_bayzf, munich-re, otc_adddf, axa","otc_adddf, munich-re, axa, nasdaq_dasty",False
137,Which company has the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tons CO2e?,munich-re,munich-re,True
138,Which companies have the top 4 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in GWh?,"nyse_tte, heidelberg-materials, otc_dpsgy, deutsche-telekom-ag","munich-re, heidelberg-materials, deutsche-telekom-ag, otc_dpsgy",False
139,What are the top 4 highest water consumption values (in descending order) for the year 2023 among the following companies in m3?,"35400000.0, 8200000.0, 6780000.0, 5049144.0","5049144.00, 8200000.00, 35400000.00, 432730.00",False
140,Which companies have the 3 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,"nyse_az, nasdaq_dasty, munich-re","179523.00, 96745.00, 21.60",False
141,What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in Million metric tons of CO2 equivalents?,71.04,735018.00,False
142,Which company has the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in Million metric tons of CO2 equivalents?,otc_bayzf,vivendi,False
143,Which companies have the top 4 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,"nyse_tte, deutsche-telekom-ag, munich-re, nasdaq_dasty","munich-re, nasdaq_dasty, deutsche-telekom-ag, prosiebensat1-media",False
144,Which companies have the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"otc_esocf, otc_rwnef","axa, vivendi",False
145,What is the largest energy consumption from 2022 to 2023 among the following companies?,82766.0,"82766.00,166.00,35056.00,12241.00,33.26",False
146,What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in Million metric tons of CO2 equivalents?,1.91,"10291.00, 31774.00, 33617.00",False
147,What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in TCO2eq?,56530000.0,5894811.00,False
148,Which company has the highest water consumption in the years 2023 and 2022 for the following companies in millions of cu.m?,otc_esocf,"otc_crerf, otc_esocf",False
149,What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,"9720000.0, 7635784.0","5894811.00, 735018.00",False
150,What are the 5 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,"92467.0, 168709.0, 770748.0, 3130824.0, 71040000.0","8.10, 61.00, 1222.00, 179523.00, 92467.00",False
151,Which companies have the 5 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,"vivendi, nyse_az, axa, otc_bayzf, otc_esocf","1.12, 30.49, 37.17, 19.50, 19.50",False
152,What are the top 5 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in million kWh?,"71.22, 250.92, 12241.0, 35056.0, 91604.24","122.41, 350.56, 712.18, 2509.16, 2509.16",False
153,Which company has the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,otc_adddf,otc_adddf,True
154,What is the smallest water consumption from 2022 to 2023 among the following companies in millions of cu.m?,0.43,"6.66, 8.20, 35.40",False
155,Which company has the highest energy consumed in the last 2 years among the following companies in TJ?,heidelberg-materials,"deutsche-telekom-ag, 25594.00",False
156,Which companies have the top 4 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in GWh?,"otc_dpsgy, deutsche-telekom-ag, otc_su, munich-re","otc_su, munich-re, otc_dpsgy, deutsche-telekom-ag",False
157,What are the 5 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"1.11, 0.2, 0.14, 0.01, 0.0","3193.00, 142.46, 0.20, 1.12, 0.00",False
