index,question,value,response,correct
0,What is the average total waste in tons for the years 2022 and 2023?,4710.0,"4350#5070 |

the value of |5070#4350| is 4725 |
the value of |4350#5070| |

the value of |4350#5070| |

the value of |4350#5070| |

the value of |4350#5070| |

the value of |4350#5070| |

the value of |4350#5070| |

the value of |4350#5070| |

the value of |4350#5070| |

the value of |4350#5070| |

the value of |4350#5070| |

the value of |4350#5070| |

the value of |4350#5070| |

the value of |4350#5070| |

the value of |4350#5070| |

the value of |4350#5070| |

the value of |4350#5070| |

the value of |4350#5070| |

the value of |4350#5070| |

the value of |4350#5070| |

the value of |4350",False
1,What is the increase in the amount of unsorted waste (in tons) from 2022 to 2023?,802.0,| 4350#1955 |,False
2,What is the sum of the total waste in tons for the years 2022 and 2023?,9420.0,"4350#5070 |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 9420 |

the value of | none |

the value of | sum of the total waste in tons for the years 2022 and 2023 | is 942",False
3,What is the percentage reduction in the amount of unsorted waste from 2022 to 2023?,29.09,-29%,False
4,What is the difference in total waste (T) from 2022 to 2023?,720.0,4350#5070,False
5,What is the average intensity of GHG emissions (Scope 1+2) of operated upstream oil and gas activities and on equity basis for the year 2022?,18.0,| 17 |,False
6,What is the increase between the intensity of GHG emissions (Scope 1+2) of operated upstream oil & gas activities in 2023 and 2022?,0.0,| 17 |,False
7,What is the sum of intensity of GHG emissions (Scope 1+2) of operated upstream oil and gas activities and on equity basis for the year 2021?,36.0,17 + 19,False
8,What is the percentage reduction in the intensity of GHG emissions (Scope 1+2) of upstream oil and gas activities on an equity basis from 2021 to 2023?,5.26,"18#19 |

the corresponding scale is: none |

",False
9,What is the reduction between the intensity of methane emissions from operated oil and gas facilities (Upstream) in 2023 and 2021?,0.02,0.11 - 0.13,False
10,What is the percentage reduction in the intensity of methane emissions from operated oil and gas facilities (Upstream) when comparing the values from 2021 to 2022?,15.38,"0.13#0.11 |

#### and its corresponding scale is: percent",False
11,"What is the average intensity of methane emissions from operated oil and gas facilities (Upstream) for the years 2023, 2022, 2021, and 2015?",0.14,"(0.11 + 0.11 + 0.13) / 4 |

#### and its corresponding scale is: percent",False
12,What is the increase in the intensity of methane emissions from operated oil and gas facilities (Upstream) between the years 2015 and 2022?,-0.12,no answer in the response,False
13,What is the average net primary energy consumption (in TWh) from the years 2015 to 2023?,155.17,157,False
14,What is the increase in renewable energy consumption (TWh) between the years 2021 and 2023?,1.0,"166#157 |

the corresponding scale is: none |

",False
15,What is the total sum of the net primary energy consumption (in TWh) from the years 2015 to 2023?,931.0,"157#147#160#148#166 |

the corresponding scale is: none |

",False
16,What is the percentage increase in the number of operated sites with annual consumption greater than 50 ktoe from 2020 to 2023?,2.38,"46#43 |

the corresponding scale is: none |

",False
17,What is the reduction between the Global Energy Efficiency Indicator (GEEI) values for the years 2022 and 2020?,5.1,"85.1#87.0 |

the corresponding scale is: none |

the reduction between the global energy efficiency indicator (geei) values for the years 2022 and 2020 is 85.1 - 87.0 |",False
18,What is the percentage decrease in the Global Energy Efficiency Indicator (GEEI) from 2015 to 2021?,4.19,"85.1#90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8 |

the corresponding scale is: percent |

the percentage decrease in the global energy efficiency indicator (geei) from 2015 to 2021 is 85.1 - 90.8",False
19,What is the average value of the Global Energy Efficiency Indicator (GEEI) from 2015 to 2023?,87.92,86.4,False
20,What is the decrease in the Global Energy Efficiency Indicator (GEEI) from 2019 to 2021?,1.0,"87.0#90.2 |

the corresponding scale is: none |

",False
21,"What is the sum of the Global Energy Efficiency Indicator (GEEI) values for the years 2015, 2019, 2020, 2021, 2022, and 2023?",527.5,86.4,False
22,What is the difference between the fresh water withdrawals (excluding open loop cooling water) and the fresh water consumption in 2021?,21.0,75#80,False
23,"What is the sum of the SO2 emissions, NOx emissions and NMVOC emissions for the year 2021?",133.0,"58#3.8#16 |

#### and its corresponding scale is: none",False
24,What is the reduction in offshore continuous water discharges hydrocarbon content from the year 2020 to 2022?,-0.1,"12.8#13.7 |

the corresponding scale is: none |

",False
25,What is the increase in the percentage of sites that meet the target for offshore discharges quality from 2020 to 2021?,8.0,92#100,False
26,What is the average value of onshore continuous water discharges hydrocarbon content for the years 2021 and 2022?,2.2,"1.9#1.8 |

the corresponding scale is: none |

",False
27,What is the decrease in the lifecycle carbon intensity of energy products used by customers from 2022 to 2023?,1.0,87 - 88,False
28,"What is the sum of the intensity of GHG emissions (Scope 1+2) of operated Upstream oil & gas activities for the years 2023, 2022, 2021, and 2015?",72.0,"17#17#17#21 |

#### and its corresponding scale is: none",False
29,What is the difference between the total Scope 3 GHG emissions and those related to Europe alone in 2015?,154.0,410#256,False
30,What is the percentage decrease in the GHG emissions from Gas in 2023 compared to 2022?,4.62,no answer in the response,False
31,What is the sum of GHG emissions from Biofuels and Gas in 2022?,134.0,no answer in the response,False
32,What is the average between GHG emissions from Biofuels and Gas in 2022?,67.0,75,False
33,What is the difference between GHG emissions from Oil in 2015 compared to the emissions from Gas in the same year?,290.0,350#60,False
34,What is the sum of gas-related GHG emissions and petroleum products emissions for the year 2015?,410.0,350#60 |,False
35,What is the percentage increase in indirect GHG emissions from gas between the years 2021 and 2023?,7.83,124#115,False
36,"What is the total of the indirect GHG emissions from gas for the years 2023, 2022, 2021, and 2015?",429.0,124#130#115#60 |,False
37,What is the average lifecycle carbon intensity of energy products sold between the years 2021 and 2023?,88.33,"(87 + 88) / 2 | none |

#### and its corresponding scale is: none",False
38,"What is the difference between the indirect GHG emissions from ""Cat 1 Purchased goods and services"" in 2022 and ""Cat 9 Downstream transportation"" in the same year?",29.0,30#1 |,False
39,"What is the total estimate of indirect GHG emissions from the categories of Purchased goods and services, Fuel-and-energy-related activities, Upstream transportation, Downstream transportation, Processing of sold products, Use of sold products, and End of life treatment of sold products for the year 2023?",410.0,"10#3#4#1#355#389 |

#### and its corresponding scale is: none",False
40,"What is the percentage increase in indirect GHG emissions from the category ""Cat 3 Fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022?",33.33,"4#3 |

the corresponding scale is: percent |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 4 - 3 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022 is: 40.0 |

the percentage increase in indirect ghg emissions from the category ""cat 3 fuel-and-energy-related activities""",False
41,"What is the reduction in indirect GHG emissions from the category ""Upstream transportation"" when comparing the values for the years 2022 and 2023?",1.0,"8#9 |

### solution
the reduction in indirect ghg emissions from the category ""upstream transportation"" when comparing the values for the years 2022 and 2023 is 8 - 9 |",False
42,"What is the sum of the indirect GHG emissions for the category ""Downstream transportation"" in the years 2022 and 2023?",2.0,1#1 |,False
43,"What is the average of the GHG emissions in Mt CO2e for ""End of life treatment of sold products"" and ""Waste generated in operations"" for the year 2023?",5.5,10#1 |,False
44,"What is the average of the indirect GHG emissions from ""Cat 3 Fuel-and-energy-related activities"" for the years 2022 and 2023?",3.5,3#4 |,False
45,What is the reduction in indirect GHG emissions from upstream transportation between the years 2022 and 2023?,1.0,"8#9 |

### solution
the reduction in indirect ghg emissions from upstream transportation between the years 2022 and 2023 is 8 - 9 |",False
46,"What is the sum of indirect GHG emissions from the category ""Purchased goods and services"" for the years 2022 and 2023?",57.0,30#27 |,False
47,What is the average of indirect GHG emissions in Mt CO2e for the upstream and downstream transportation for the year 2022?,5.0,9#1 |,False
